的	白勺
堀	土尸出
莧	艸見
蘑	艸麻石
輾	車尸工衤
跛	足皮
崾	山西女
顓	屮而頁
鉍	金必
鎔	金穴公
鯽	魚食卩
憬	心日京
愀	心禾火
湮	水西土
洇	水圍大
祜	示古
闡	門單
亙	二月
囍	南豆口南豆口
撻	扌辵土羊
芏	艸土
莣	艸亡心
蒞	艸水人立
檫	木宀肉又示
饕	口丂虎食
盹	目屯
脩	人丨攴月
畲	入示田
鎵	金宀豕
謗	言凡方
糰	米圍專
灩	水丰丰山豆去皿
寤	宀爿五口
縉	糸晉
娉	女由丂
垟	土羊
硌	石夂口
盎	冂大皿
睢	目隹
徠	行來
斛	角斗
泮	水半
汊	水又丶
灤	水䜌木
繕	糸善
歿	歹勹又
碴	石木且
逕	辵巠
哮	口耂子
嘬	口冃耳又
嶂	山辛日
乓	斤又
逯	辵彑
閾	門戈口一
葽	艸西女
枳	木口八
杓	木勺
鄴	业木邑
岬	山甲
誥	言牛口
汏	水大
売	出冂儿
埭	土隶
螯	敖虫
孛	屮八子
啷	口良邑
笥	竹司
鵒	谷鳥
狡	犬交
竦	立束
癰	疒巛邑隹
瀹	水龠
潙	水爲
硐	石同
蹶	足厂屰欠
蹋	足日羽
篡	竹目大厶
俚	人里
伈	人心
魷	魚𠂇
鰻	魚冃目又
讕	言門柬
恣	二欠心
羧	羊厶儿夂
紂	糸寸
緲	糸目少
戩	晉戈
児	臼儿
呿	口去
胄	由月
禺	禺
矚	目尸毛目勹虫
笆	竹巴
鉈	金它
竣	立厶儿夂
甑	曾瓦
悸	心禾子
煬	火昜
縐	糸𠂇艸
玓	王勺
萇	艸長
蓯	艸行从止
韭	韭
暝	日冂日又𠂇
凼	水凵
睨	目臼儿
仩	人上
倌	人宀㠯
銦	金圍大
鍇	金比白
肪	月方
馗	九首
孺	子雨而
緝	糸口耳
殮	歹亼口口从
琮	王宀示
芫	艸一兀
菈	艸扌立
檣	木來圍口
賚	來貝
掱	三手
秸	禾士口
儼	人口口厂敢
皎	白交
龕	亼口龍
諼	言爪二丿又
瘓	疒𠂊穴廾
癆	疒火火冂力
煅	火厂三殳
慵	心广尹用
涙	水戶大
惢	三心
耨	耒辰寸
蜇	扌斤虫
莒	艸呂
蘅	艸行𠂊田大
苕	艸刀口
橇	木三毛
翳	匚矢殳羽
哐	口匚王
賑	貝辰
崛	山尸出
篁	竹白王
偌	人艸𠂇口
釧	金巛
鈮	金尸匕
諺	言立厂彡
庵	广大申
炷	火主
濄	水辵咼
洳	水女口
隧	阜辵八豕
塒	土日之寸
茆	艸卯
橈	木堯
靨	厂甘月犬面
蜈	虫吳
喹	口大土土
咲	口䒑大
冑	由冃
乄	丿丶
偠	人西女
澧	水曲豆
屜	尸行世
卐	乚一丨一
纈	糸士口頁
姒	女㠯人
瓔	王貝貝女
柘	木石
枋	木方
虻	虫亡
釕	金了
廕	广阜今云
惰	心𠂇工月
懺	心从戈韭
洮	水儿水
蚤	又爪虫
婊	女表
斡	㫃日丁斗
韃	革辵土羊
轅	車土口衤
栩	木羽
攴	攴
哧	口赤
睞	目來
僖	人南豆口
傣	人大廾水
倏	人丨攴犬
銫	金𠂊卩
銃	金了儿
諤	言口口亏
苹	艸平
蕨	艸厂屰欠
茴	艸回
藐	艸豸白儿
芠	艸文
酵	酉耂子
蛔	虫回
崮	山圍古
嶠	山丿大京口
膦	月米舛
鮭	魚土土
匈	勹乂凵
譙	言隹火
洹	水二回
沢	水尺
璁	王囪心
蒯	艸朋刀
醞	酉圍人皿
椋	木京
叵	匚口
齦	齒艮
嗶	口畢
唾	口垂
哖	口年
噔	口癶豆
笫	竹𠂔
惚	心勿心
澮	水會
閫	門圍木
瑙	王巛囟
棹	木卜日十
蜥	虫木斤
蛀	虫主
螟	虫冂日又𠂇
唏	口爻巾
畹	田宀夕卩
黍	禾入水
鑊	金䒑隹又
腓	月非
詎	言巨
庥	广人木
濰	水糸隹
緘	糸戌口
攣	䜌手
轂	南車殳
蓴	艸專
蒔	艸日之寸
佇	人宀丁
鈐	金今
貉	豸夂口
瀕	水步頁
闃	門目犬
翀	羽中
妊	女壬
紓	糸予
荇	艸行
蔸	艸白卯儿
艿	艸乃
櫛	木竹食卩
斫	石斤
咻	口人木
箴	竹戌口
适	辵舌
飴	食厶口
訝	言牙
淙	水宀示
嫦	女尚巾
弁	厶廾
韉	革艸豸豸
萜	艸巾卜口
薏	艸音心
趺	足夫
賒	貝入示
郗	爻巾邑
饌	食卩卩几
虢	爪寸虎
慷	心南尹⺍
濼	水白幺幺木
実	宀二大
寥	宀羽人彡
褋	衤世木
摑	扌圍戈口一
邯	甘邑
蔑	䒑目戈人
楮	木者
圧	厂土
砥	石氐
迄	辵乞
儆	人䒑勹口攴
讎	隹言隹
銪	金𠂇月
臊	月三口木
鴕	鳥它
誆	言匚王
咫	尺口八
鍪	矛攴金
婺	矛攴女
綹	糸夂卜口
搪	扌南尹口
葑	艸土土寸
噫	口音心
瞰	目敢
攵	攴
僮	人童
佗	人它
鐫	金隹弓
塾	京京丮土
旎	㫃尸匕
壅	亠乡隹土
懦	心雨而
発	癶二儿
繚	糸一火日小
繹	糸目幸
酆	丰丰山豆邑
藹	艸言日勹亡
箬	竹艸𠂇口
爰	爪二丿又
鋮	金成
鏘	金爿肉寸
魴	魚方
詼	言𠂇火
謖	言鬼夂
炔	火夬
燼	火盡
妲	女日一
勱	萬力
蓼	艸羽人彡
鸕	虎田皿鳥
螭	虫屮乂凵禸
峒	山同
県	目乚小
狽	犬貝
觥	角光
羔	羊火
熘	火卯田
衿	衤今
騖	矛攴馬
盂	于皿
髦	長彡毛
萸	艸廾人
磧	石丰貝
蜆	虫見
踞	足尸古
昴	日卯
僾	人旡心夂
卮	𠂆卩
氷	水丶
詬	言𠂆口
癥	疒行長千土攴
湫	水禾火
綵	糸爪木
娓	女尸毛
恚	土土心
莜	艸人丨攴
蘚	艸魚羊
尢	尢
匭	匚車九
籟	竹束刀貝
魑	鬼屮乂凵禸
頦	亥頁
汜	水巳
縝	糸真
芰	艸支
椏	木亞
榫	木隹十
椽	木彑豕
蟠	虫釆田
啫	口者
蹊	足爪幺大
晞	日爻巾
詈	网言
肴	爻月
銠	金耂
鈑	金反
獠	犬一火日小
誚	言小月
諂	言𠂊臼
痿	疒禾女
焓	火今口
湃	水手一丰
湟	水白王
祉	示止
縵	糸冃目又
妗	女今
擻	扌婁攴
菘	艸木公
菏	艸水可
葯	艸糸勺
砦	止匕石
鶚	口口亏鳥
睪	目幸
釁	廾同冂酉分
鏞	金广尹用
啻	帝口
旖	㫃大可
饔	亠乡隹食
劭	刀口力
姘	女并
畿	幺幺戈田
坭	土尸匕
霈	雨水巿
呔	口太
崧	山木公
箸	竹者
稔	禾今心
籩	竹辵自穴方
乂	乂
鏵	金華
塍	朕土
詫	言宀丿七
庹	广廿尺
疚	疒久
怛	心日一
瀋	水宀釆田
黽	黽
窿	穴阜夂一生
芐	艸下
霰	雨木月攴
歩	止少
噘	口厂屰欠
啾	口禾火
崙	山亼冊
俅	人求
鎰	金水皿
腱	月廴聿
鱸	魚虎田皿
処	夂几
瘁	疒卒
浹	水亦人
漓	水屮乂凵禸
寔	宀是
禕	示韋
闆	門三口
迂	辵于
菰	艸子瓜
碇	石宀正
嗬	口艸人可
笄	竹幵
筧	竹見
鐮	金广兼
凇	冫木公
洌	水歹刀
袒	衤日一
鄄	西土邑
櫚	木門呂
呋	口夫
囁	口三耳
唳	口戶犬
篙	竹京口
氛	气分
鋌	金廴千土
詘	言出
賡	南尹貝
禛	示真
闥	門辵土羊
嬤	女麻幺
垚	三土
垃	土立
蕎	艸丿大京口
蚴	虫幺力
跖	足石
鄖	口貝邑
踉	足良
牘	爿出网貝
佃	人田
腈	月青
腊	月昔
膺	广人隹月
焐	火五口
洱	水耳
衲	衤内
邏	辵网糸隹
蛩	工丮虫
琶	王王巴
菟	艸象比
薌	艸乡
稷	禾鬼夂
簣	竹廾貝
笈	竹及
鱟	廾爻冂魚
鄣	辛日邑
痙	疒巠
惲	心九車
冨	冂畐
韞	韋日皿
蘼	艸麻非
螅	虫自心
嚯	口雨隹
篪	竹𠂆虎
夊	夂
誹	言非
讖	言从戈韭
燻	火東火
沮	水且
轡	車糸糸口
挹	扌邑
逑	辵求
鞅	革冂大
桜	木⺍女
蚧	虫介
骯	骨亢
笏	竹勿
鎦	金卯田
酋	八酉
鎏	水了巛金
滁	水阜余
媸	女之虫
媧	女咼
并	并
苫	艸卜口
楸	木禾火
檳	木宀一㐄貝
賾	臣丰貝
迓	辵牙
匱	匚廾貝
蛘	虫羊
踵	足重
炅	日火
罹	网心隹
笱	竹丩口
鈹	金皮
肼	月井
臏	月宀一㐄貝
鮃	魚平
旃	㫃丹
懊	心宀釆廾
涫	水宀㠯
瀰	水弓爾
遽	辵虎豕
陛	阜比土
紸	糸主
觳	南角殳
鬩	鬥臼儿
摶	扌專
揸	扌木且
苊	艸厂卩
萄	艸勹缶
薜	艸尸口辛
囈	口艸屮宀土丮云
嚦	口厂禾禾止
崆	山穴工
佽	人二欠
銖	金朱
獺	犬束刀貝
脘	月宀一兀
芻	𠂇艸
贇	文戈止貝
惻	心貝刀
闈	門韋
嫵	女無
舂	午廾臼
璦	王旡心夂
蔦	艸鳥
橢	木阜𠂇工月
达	辵大
唇	辰口
豕	豕
呎	口尺
嵊	山禾北
睋	目我
幃	巾韋
况	冫口儿
褰	宀屮人衣
冗	冂几
恵	專心
薨	䒑目勹歹匕
蓀	艸子丿糸
葒	艸糸工
鏨	車斤金
椴	木厂三殳
齶	齒口口亏
噲	口會
雎	且隹
鏂	金匚三口
腩	月南
鮫	魚交
謫	言帝口
瘴	疒辛日
憚	心單
満	水廿巾凵
浼	水象儿
閬	門良
媼	女圍人皿
絀	糸出
芎	艸弓
酊	酉丁
笞	竹厶口
侮	人每
胱	月光
肓	亡月
痧	疒水少
袢	衤半
黿	一兀黽
髡	長彡兀
擢	扌羽隹
麴	來夂勹米
厴	厂甘月犬甲
嘁	口戌卜小
罅	缶虎乎
佼	人交
侷	人尸㇕口
釔	金乙
鑠	金白幺幺木
亳	京丿七
悴	心卒
閌	門亢
壎	土東火
菓	艸果
梆	木丰邑
乩	卜口乚
呶	口女又
賂	貝夂口
誄	言耒
疽	疒且
淄	水巛田
逅	辵𠂆口
逄	辵夂㐄
亜	亞
堺	土田介
擷	扌士口頁
菽	艸上小又
蓖	艸囟比
菔	艸舟卩又
苧	艸宀丁
蟆	虫屮日
齪	齒足
嘭	口南豆彡
尜	小大小
嵋	山眉
佤	人瓦
鼾	鼻干
鎩	金乂术殳
凊	冫青
猷	八酉犬
閎	門𠂇厶
閿	門爪舟又
卩	卩
縭	糸屮乂凵禸
螚	厶肉比虫
萁	艸其
葩	艸白巴
蛐	虫曲
勖	冃目力
岜	山巴
笪	竹日一
舐	舌氏
佶	人士口
倨	人尸古
餒	食爪女
鳧	鳥几
詿	言土土
溉	水食旡
赭	赤者
檠	䒑勹口攴木
桅	木𠂊厂卩
眥	止匕目
訾	止匕言
嘹	口一火日小
嚀	口宀心皿丁
犇	三牛
伝	人云
鱘	魚彐工口寸
諟	言是
庠	广羊
慳	心臣又土
慟	心重力
葙	艸木目
杈	木又丶
砧	石卜口
蛉	虫令
蟀	虫亠幺⺍十
咭	口士口
嚙	口齒
飫	食丿大
鈰	金市
惕	心日勿
惘	心网亡
惦	心广卜口
潦	水一火日小
窠	穴果
裨	衤卑
迨	辵厶口
矸	石干
贗	厂人鳥貝
蜓	虫廴千土
嘵	口堯
唚	口彐冂又
餼	食气米
褻	衣屮宀土丮
袞	衣公
懍	心亠回禾
褔	衤畐
蚩	之虫
櫱	屮㠯辛木
殯	歹宀一㐄貝
耒	耒
芄	艸丮
榷	木冂隹
奄	大申
碚	石丶不口
喑	口音
鋨	金我
繇	肉缶丿糸
裾	衤尸古
窈	穴幺力
豉	豆支
箌	竹至刀
讜	言尚黑
劾	亥力
憧	心童
裑	衤身
裼	衤日勿
孿	䜌子
嫠	未攴厂女
琇	王禾乃
荏	艸人壬
蘢	艸龍
杪	木少
榔	木良邑
隹	隹
餳	食昜
鉺	金耳
鎌	金兼
旆	㫃巿
癇	疒門月
燧	火辵八豕
遑	辵白王
橐	一中冂石木
圪	土乞
嗇	來圍口
駢	馬并
藪	艸婁攴
芃	艸凡
槭	木戌卜小
棰	木垂
噥	口曲辰
嗥	口白大十
峴	山見
岣	山丩口
佉	人去
魈	鬼小月
頎	斤頁
鏌	金屮日
颼	風申又
詵	言先
諢	言九車
覚	⺍冂見
瀬	水束頁
珥	王耳
駟	馬四
茤	艸多
砭	石丿之
碓	石隹
蟑	虫辛日
蚓	虫弓丨
嗵	口辵甬
嵴	山脊
憩	舌自心
俁	人吳
臚	月虎田皿
昝	夂卜日
隗	阜鬼
繾	糸辵廾㠯
紉	糸刀丶
壊	土十目衣
琚	王尸古
葫	艸古月
鞣	革矛木
顴	艸口口隹頁
蕕	艸犬八酉
醴	酉曲豆
饜	厂甘月犬食
齠	齒刀口
顒	禺頁
嘗	尚旨
嵛	山俞
牯	牛古
簟	竹西日十
笮	竹乍
囪	囪
儈	人會
鷂	肉缶鳥
譲	言衣八甘
麝	鹿身寸
沌	水屯
勰	三力田心
婀	女阜可
縞	糸京口
瑁	王冃目
綦	其糸
齷	齒尸至
喋	口世木
躋	足齊
瓴	令瓦
毖	比必
悽	心一尹女
愫	心𠂹糸
悚	心束
搴	宀屮人手
朶	乃木
増	土曾
菋	艸口未
驀	屮日馬
醪	酉羽人彡
囀	口車專
趿	足及
蹌	足倉
嗍	口屰月
杲	日木
暘	日昜
骷	骨古
爨	廾同冂木木廾火
羸	贏羊
誶	言卒
廄	广食殳
瀲	水亼口口从攴
攫	扌目目隹又
茼	艸同
齜	齒止匕
圜	圍目一口衤
秣	禾末
僭	人旡旡日
囟	囟
鑭	金門柬
鰳	魚革力
鰨	魚日羽
慊	心兼
媯	女爲
鞀	革刀口
樅	木行从止
団	圍寸
罌	貝貝缶
儔	人耂工口寸
羶	羊亠回日一
汨	水日
閼	門於
閽	門氏日
閡	門亥
譬	尸口辛言
縹	糸西示
摒	扌尸并
齬	齒五口
嘧	口宀必山
嵬	山鬼
瞑	目冂日又𠂇
穡	禾來圍口
氪	气克
笳	竹力口
魃	鬼犮
佸	人舌
艉	舟尸毛
穌	魚禾
浯	水五口
溱	水午廾禾
阡	阜千
璩	王虎豕
醮	酉隹火
硤	石亦人
蠊	虫广兼
圉	圍幸
嚓	口宀肉又示
纍	三田糸
賙	貝用口
豺	豸才
獐	犬辛日
旄	㫃毛
広	广厶
糝	米三厶人彡
泖	水卯
溏	水南尹口
裉	衤艮
戸	戶
琺	王水去
芟	艸殳
棖	木長
柜	木巨
蚨	虫夫
蟶	虫耳口千土
俎	人人且
肫	月屯
糍	米䒑幺幺
槊	屰月木
涑	水束
涪	水丶不口
漉	水鹿
緄	糸日比
彗	丰丰彐
鞦	革禾火
莔	艸四冂
躉	萬足
櫪	木厂禾禾止
齔	齒匕
屾	山山
鶻	骨鳥
泱	水冂大
泫	水亠幺
鴆	冂儿鳥
帚	彐冂巾
埕	土口千土
珪	王土土
瑗	王爪二丿又
茁	艸出
檄	木白方攴
竽	竹于
稗	禾卑
佺	人入王
鍆	金門
鯢	魚臼儿
戠	音戈
咨	二欠口
淀	水宀正
謇	宀屮人言
逖	辵犬火
羋	丨羊
靼	革日一
莋	艸人乍
唵	口大申
吩	口分
哞	口厶牛
羆	网厶肉比火
嶧	山目幸
迤	辵𠂉也
秈	禾山
簞	竹單
佞	人二女
鉿	金亼口
艫	舟虎田皿
諉	言禾女
瘍	疒昜
憒	心廾貝
郯	火火邑
邋	辵巛囟釆
闐	門真
孃	女衣口口甘
縊	糸水皿
垌	土同
璀	王山隹
芘	艸比
蹩	巾⺍攴足
昉	日方
鱈	魚雨彐
鮒	魚人寸
涿	水豕
鼐	乃鼎
戛	頁戈
髪	長彡𠂇又
瑀	王禹
驄	馬囪心
璣	王幺幺戈人
芨	艸及
蠓	虫艸冃豕
蚪	虫斗
吒	口丿七
瞋	目真
毎	𠂉母
倥	人穴工
猓	犬果
頫	兆頁
褥	衤辰寸
嬖	尸口辛女
孀	女雨木目
縋	糸辵㠯
珣	王勹日
璘	王米舛
菠	艸水皮
卣	卜圍龴
嚶	口貝貝女
跚	足冊
嶷	山旡大牛止
牖	爿戶甫
徨	行白王
鉄	金失
豸	豸
溧	水西木
寀	宀爪木
阱	阜井
愍	民攴心
皴	厶儿夂皮
撳	扌金欠
蘺	艸屮乂凵禸隹
櫸	木廾牙廾扌
磣	石三厶人彡
蠐	虫齊
咑	口扌丁
踔	足卜日十
黜	黑出
崍	山來
魎	鬼一内内
偸	人俞
兗	亠公儿
淝	水月卩
鷸	矛内口鳥
続	糸出冂儿
梘	木見
虺	兀虫
磋	石差
蠛	虫䒑目戈人
蠖	虫䒑隹又
哃	口同
吽	口牛
徘	行非
粼	米舛巛
烊	火羊
紆	糸于
紈	糸丮
埗	土步
鄹	耳又从邑
瓁	王䒑隹又
鸛	艸口口隹鳥
蓑	艸衣冄
酢	酉乍
醌	酉日比
樘	木尚土
楦	木宀二回
蜒	虫廴丿止
唲	口臼儿
咜	口它
彫	用口彡
偲	人田心
鐿	金音心
胂	月申
忤	心午
潶	水黑
紜	糸云
艽	艸九
醭	酉业廾
蜡	虫昔
蚝	虫毛
嚨	口龍
毬	毛求
鍖	金甘匚八
鏍	金田糸
癜	疒尸几几殳
沭	水术
滓	水宀辛
娌	女里
繒	糸曾
跫	工丮足
鏊	敖金
葶	艸京丁
酞	酉太
榱	木衣冄
槨	木京京邑
郟	亦人邑
踴	足甬力
兎	丿口比
倳	人事
煳	火古月
嬛	女目一口衤
嫚	女冃目又
驃	馬西示
柰	木示
桁	木行
蜱	虫卑
餚	食爻月
鯀	魚丿糸
郞	良邑
恫	心同
憔	心隹火
剡	火火刀
姫	女臣
彀	南弓殳
珅	王申
萿	艸水舌
雹	雨勹巳
橄	木敢
匚	匚
蟛	虫南豆彡
咴	口𠂇火
噈	口京𠂇
冏	内口
髕	骨宀一㐄貝
値	人直
俶	人上小又
皚	白屮豆
錈	金龹卩
遒	辵八酉
畑	火田
衩	衤又丶
嬙	女來圍口
媄	女羊大
圮	土己
耔	耒子
揆	扌癶天
苤	艸不一
苴	艸且
苻	艸人寸
婪	木木女
櫫	豕者木
碉	石用口
咼	咼
倬	人卜日十
饉	食堇
彳	行
譎	言矛内口
奘	爿士大
痱	疒非
疙	疒乞
浞	水足
湔	水止舟刀
潺	水尸三子
袷	衤亼口
爿	爿
鸝	麗鳥
驤	馬衣口口甘
覲	堇見
鄞	堇邑
蕗	艸足夂口
梶	木尸毛
邨	屯邑
鹺	鹵差
鼉	口口田一黽
鴰	舌鳥
伲	人尸匕
劬	丩口力
炤	火刀口
単	單
閶	門昌
恿	甬心
坍	土丹
垸	土宀一兀
鬟	長彡目一口衤
耪	耒凡方
芑	艸己
逋	辵甫
蚶	虫甘
曷	日勹亡
侈	人多
刖	月刀
獯	犬東火
觶	角單
鰍	魚禾火
旒	㫃了巛
忖	心寸
惆	心用口
閂	門一
邐	辵麗
鬮	鬥龜
驁	敖馬
掇	扌叕
鶘	古月鳥
鞫	革勹言
槲	木角斗
齟	齒且
噺	口辛木斤
韙	是韋
冄	冄
鸚	貝貝女鳥
鉦	金正
鋟	金彐冂又
錙	金巛田
猗	犬大可
堃	方方土
沔	水一𠂊乚
灕	水屮乂凵禸隹
窨	穴音
厾	乙去
緦	糸田心
耄	耂毛
杴	木欠
蚵	虫可
蛄	虫古
蠣	虫厂萬
篦	竹囟比
俳	人非
錸	金來
鐐	金一火日小
獬	犬角刀牛
胝	月氐
礱	龍石
濉	水目隹
洺	水夕口
邃	辵穴八豕
屐	尸行支
経	糸又土
殄	歹人彡
瞽	南豆支目
鷙	幸丮鳥
験	馬亼口人
蠆	萬虫
芴	艸勿
楝	木柬
鶇	東鳥
耷	大耳
曛	日東火
稹	禾真
氤	气圍大
込	辵入
臆	月音心
髙	京口
埸	土日勿
拊	扌人寸
荑	艸大弓
芤	艸子乚
榧	木匚非
砑	石牙
垡	人戈土
倮	人果
徇	行勹日
鑷	金三耳
鑌	金宀一㐄貝
腆	月冊廾
胗	月人彡
瘢	疒舟殳
遨	辵敖
弢	弓屮又
緙	糸革
駑	女又馬
擤	扌鼻
匏	大亏勹巳
尷	尢監
蝴	虫古月
虼	虫乞
曈	日童
澩	廾爻冂水
餱	食𠂊厂矢
粿	米果
渀	水奔
宄	宀九
隳	阜𠂇工月人心
堋	土朋
菹	艸水且
酐	酉干
櫳	木龍
哚	口几木
眭	目土土
鴦	冂大鳥
峰	山夂丰
侞	人女口
飩	食屯
餾	食卯田
銣	金女口
胛	月甲
腴	月廾人
獰	犬宀心皿丁
詁	言古
諑	言豕
訃	言卜
疳	疒甘
癤	疒竹食卩
惴	心屮而
怺	心永
窕	穴兆
陟	阜步
悪	亞心
鼙	南豆支卑
聵	耳廾貝
鴣	古鳥
蕈	艸西日十
蘄	艸單斤
薺	艸齊
釅	酉口口厂敢
楂	木木且
楫	木口耳
碭	石昜
戔	戔
呻	口申
叺	口入
咄	口出
崞	山京京
嶗	山火火冂力
骼	骨夂口
籙	竹金彑
魍	鬼网亡
僉	亼口口从
饅	食冃目又
餛	食日比
鍐	金乂凵儿夂
狎	犬甲
麾	麻毛
羝	羊氐
糲	米厂萬
憷	心木木疋
煋	火日生
燚	四火
窣	穴卒
窸	穴釆心
褡	衤艸亼口
闍	門者
閞	門厶廾
嬗	女亠回日一
絵	糸會
邛	工邑
玎	王丁
瑚	王古月
琿	王九車
玘	王己
茈	艸止匕
藎	艸盡
椐	木尸古
螞	虫馬
蜘	虫矢口
嗉	口𠂹糸
唁	口言
躚	足辵西廾卩
筮	竹工从
箜	竹穴工
瓮	公瓦
鈸	金犮
錮	金圍古
鍤	金干臼
鯁	魚更
鰱	魚辵車
粳	米更
遄	辵屮而
裰	衤叕
鞴	革𤰇
蘩	艸每攴糸
麩	來夂夫
碲	石帝
觜	止匕角
跏	足力口
唎	口禾刀
崚	山屮宀夂
仵	人午
歙	亼口羽欠
鏇	金㫃疋
諄	言京京
竜	辛甲
蠲	水皿目勹虫
粞	米西
湢	水畐
涳	水穴工
蟊	矛虫虫
媲	女囟比
緱	糸𠂊厂矢
繅	糸巛果
盍	去皿
扦	扌千
萵	艸咼
菪	艸宀石
棱	木屮宀夂
輳	車禾廾
蛞	虫舌
笤	竹刀口
傀	人鬼
飪	食壬
胭	月圍大
謄	朕言
殳	殳
旮	九日
悻	心幸
巛	巛
埝	土今心
圯	土巳
栲	木耂丂
朮	术
榊	木示申
砹	石艸乂
図	圍冫乂
跣	足先
邾	朱邑
氚	气巛
俷	人月卩
譕	言無
瓿	丶不口瓦
潢	水黃
漷	水京京邑
辶	辵
禳	示衣口口甘
鬻	弓米弓鬲
綆	糸更
彘	彑匕矢匕
殛	歹二人口又
堊	亞土
琵	王王比
頊	王頁
拮	扌士口
枡	木升
砟	石乍
骱	骨介
笸	竹匚口
頷	今口頁
鋃	金良
狻	犬厶儿夂
鴇	匕十鳥
鴟	氐鳥
邙	亡邑
悌	心弋弓
淠	水田矢
嫫	女屮日
妣	女比
餮	歹人彡食
赳	走丩
埽	土彐冂巾
圾	土及
荖	艸耂
薅	艸女辰寸
樗	木雨亏
柞	木乍
欹	大可欠
蠼	虫目目隹又
跆	足厶口
嗐	口宀丰口
黙	里犬火
嵯	山差
牝	牛匕
怹	人也心
鏑	金帝口
瘛	疒丰刀心
巻	龹己
懌	心目幸
瀞	水青爪尹
漵	水余攴
漈	水肉又示
滂	水凡方
繻	糸雨而
糶	出米羽隹
嫘	女田糸
橛	木厂屰欠
骺	骨𠂆口
笊	竹爪
倀	人長
倜	人用口
皈	白反
鈳	金可
鯛	魚用口
怙	心古
滹	水虎乎
蔠	艸糸夂冫
撃	車殳手
槁	木京口
酃	雨口口口邑
奩	大匚三口
鴯	而鳥
郾	匚日女邑
畋	田攴
髀	骨卑
穰	禾衣口口甘
獗	犬厂屰欠
謅	言𠂇艸
癭	疒貝貝女
羰	羊山𠂇火
愴	心倉
窬	穴俞
嬿	女燕
砉	丰石
抉	扌夬
莩	艸爪子
迣	辵世
柩	木匚久
蚰	虫由
螳	虫尚土
蛑	虫厶牛
咆	口勹巳
篋	竹匚亦人
価	人西
翕	亼口羽
郄	爻厶邑
朐	月丩口
夤	夕寅
窳	穴瓜瓜
劼	士口力
踅	扌斤足
蘧	艸辵虎豕
杼	木予
磽	石堯
鳪	卜鳥
蚋	虫内
跗	足人寸
侔	人厶牛
艚	舟曹
郇	勹日邑
裎	衤口千土
冢	冂豕
陔	阜亥
埵	土垂
瑭	王南尹口
醺	酉東火
喟	口田月
咐	口人寸
蜚	非虫
旯	日九
嶙	山米舛
甥	生田力
篾	竹目戈人
皤	白釆田
敫	白方攴
鵜	弋弓鳥
洄	水回
裟	水少衣
弭	弓耳
媾	女魚魚
緡	糸民日
莨	艸良
櫺	木雨口口口
霹	雨尸口辛
邳	不一邑
蟪	虫專心
歳	止戌小
蚣	虫公
跎	足它
呉	吳
嶝	山癶豆
嶁	山婁
郃	亼口邑
貘	豸屮日
読	言出冂儿
紶	糸去
婞	女幸
靑	青
苾	艸必
霑	雨水卜口
蝽	虫艸屯日
犧	牛羊禾戈丂
恂	心勹日
夬	夬
翮	鬲羽
両	一巾凵
邴	丙邑
玠	王介
蕤	艸豕生
鷯	一火日小鳥
蚱	虫乍
趵	足勺
帰	刀彐冂巾
罟	网古
矍	目目隹又
峋	山勹日
嶋	山鳥
髏	骨婁
嚳	廾爻冂牛口
皁	白十
齎	齊貝
萆	艸卑
槔	木白大十
磴	石癶豆
蟣	虫幺幺戈人
畛	田人彡
岈	山牙
犍	牛廴聿
釤	金彡
臃	月亠乡隹
譖	言旡旡日
廛	广里八土
愎	心𠂉日夂
茚	艸爪卩
軛	車厂卩
匴	匚竹目廾
曩	日衣口口甘
暾	日京京攴
罱	网南
岵	山古
畬	余田
粢	二欠米
庀	广匕
湎	水面
鐾	尸口辛金
総	糸公心
炱	厶口火
墻	土來圍口
摜	扌貫
苜	艸目
硨	石車
錁	金果
窆	穴丿之
聴	耳十目心
瑠	王卯田
搧	扌戶羽
藿	艸雨隹
薱	艸业土寸
葰	艸人厶儿夂
茭	艸交
菑	艸巛田
霎	雨辛女
蛺	虫亦人
蜿	虫宀夕卩
昃	日厂人
簸	竹其皮
佹	人𠂊厂卩
儕	人齊
剣	亼口人刀
艋	舟子皿
齏	齊韭
鶿	䒑幺幺鳥
炆	火文
惋	心宀夕卩
湓	水分皿
褆	衤是
蓁	艸午廾禾
萣	艸宀正
柊	木夂冫
泅	水圍人
紱	糸犮
擯	扌宀一㐄貝
搡	扌三又木
帯	帶
酹	酉爪寸
雩	雨亏
靂	雨厂禾禾止
兕	凹儿
帙	巾失
簌	竹束欠
穂	禾專心
僂	人婁
鄱	釆田邑
獍	犬音儿
廩	广亠回禾
瀠	水火火冂糸
韝	韋魚魚
顙	三又木頁
綈	糸弋弓
堝	土咼
辻	辵十
蔵	艸戊臣
晷	日夂卜口
筇	竹工邑
賃	人壬貝
鐙	金癶豆
脒	月米
炻	火石
泔	水甘
専	專
墀	土尸毛牛
挈	丰刀手
玹	王亠幺
騅	馬隹
嘏	古叚
蓽	艸畢
転	車云
弍	弋二
蟯	虫堯
圏	圍龹己
豊	曲豆
衄	血丑
儻	人尚黑
狆	犬中
痤	疒从土
塋	火火冂土
煢	火火冂乙十
惇	心京京
溲	水申又
鷚	羽人彡鳥
丌	几
掾	扌彑豕
萩	艸禾火
崤	山爻月
仃	人丁
倗	人朋
鈁	金方
艏	舟首
狷	犬口月
肷	月欠
